"tarih","id","score","tahmin_var","olay_varmi","match","toplam_olay_sayisi","tahmin_dogru_number","tahmin_yanlis_number"
"5/8/2017","2847","0.0271307","0","1",,"11",,
"10/8/2017","5483","0.019179","0","1",,"7",,
"3/8/2017","1682","0.0043995","0","1",,"11",,
"7/8/2017","4012","0.00541737","0","1",,"10",,
"8/8/2017","4363","0.00115381","0","1",,"11",,
"6/8/2017","3429","0.0225219","0","1",,"10",,
"4/8/2017","2265","0.00339691","0","1",,"10",,
"9/8/2017","4914","0.0482168","0","1",,"9",,
"2/8/2017","1100","0.0049016","0","1",,"11",,
"8/8/2017","4345","0.0399984","0","1",,"11",,
"10/8/2017","5465","0.0421299","0","1",,"7",,
"1/8/2017","497","0.00135762","0","1",,"8",,
"6/8/2017","3411","0.0311119","0","1",,"10",,
"7/8/2017","3996","0.0313694","0","1",,"10",,
"8/8/2017","4347","0.0396646","0","1",,"11",,
"7/8/2017","3961","0.0166014","0","1",,"10",,
"6/8/2017","3378","0.0186931","0","1",,"10",,
"5/8/2017","2796","0.0185636","0","1",,"11",,
"3/8/2017","1631","0.00960256","0","1",,"11",,
"2/8/2017","1061","0.00120825","0","1",,"11",,
"3/8/2017","1646","0.0110445","0","1",,"11",,
"8/8/2017","4327","0.0301853","0","1",,"11",,
"7/8/2017","4002","0.0153161","0","1",,"10",,
"6/8/2017","3419","0.00109459","0","1",,"10",,
"9/8/2017","4871","0.0466422","0","1",,"9",,
"2/8/2017","1057","0.00183974","0","1",,"11",,
"2/8/2017","959","0.00697675","0","1",,"11",,
"1/8/2017","370","0.00285198","0","1",,"8",,
"5/8/2017","2706","0.00147537","0","1",,"11",,
"3/8/2017","1541","0.00929166","0","1",,"11",,
"7/8/2017","3871","0.0257749","0","1",,"10",,
"4/8/2017","2124","0.00850692","0","1",,"10",,
"9/8/2017","4773","0.00570429","0","1",,"9",,
"8/8/2017","4222","0.0374321","0","1",,"11",,
"3/8/2017","1718","0.0126321","0","1",,"11",,
"2/8/2017","1136","0.00960302","0","1",,"11",,
"10/8/2017","5519","0.0394907","0","1",,"7",,
"8/8/2017","4197","0.0105371","0","1",,"11",,
"3/8/2017","1516","0.0150218","0","1",,"11",,
"8/8/2017","4196","0.0214416","0","1",,"11",,
"8/8/2017","4157","0.00852157","0","1",,"11",,
"2/8/2017","1065","0.00422135","0","1",,"11",,
"6/8/2017","3392","0.0212713","0","1",,"10",,
"1/8/2017","478","0.000217513","0","1",,"8",,
"3/8/2017","1505","0.00602861","0","0",,"11",,
"3/8/2017","1732","0.00108736","0","1",,"11",,
"10/8/2017","5533","0.0215885","0","1",,"7",,
"6/8/2017","3457","0.0319023","0","1",,"10",,
"10/8/2017","5504","0.0426709","0","1",,"7",,
"9/8/2017","4924","0.0248127","0","1",,"9",,
"7/8/2017","4022","0.0378688","0","1",,"10",,
"4/8/2017","2284","0.0224763","0","1",,"10",,
"1/8/2017","525","0.00273421","0","1",,"8",,
"5/8/2017","2846","0.0210281","0","1",,"11",,
"4/8/2017","2275","0.00936499","0","1",,"10",,
"5/8/2017","2785","0.0192168","0","1",,"11",,
"3/8/2017","1711","0.00496732","0","0",,"11",,
"5/8/2017","2775","0.0270112","0","1",,"11",,
"4/8/2017","2324","0.0193674","0","1",,"10",,
"7/8/2017","4071","0.0165814","0","1",,"10",,
"3/8/2017","1741","0.0154269","0","1",,"11",,
"5/8/2017","2901","0.0185612","0","1",,"11",,
"1/8/2017","534","0.00241652","0","1",,"8",,
"4/8/2017","2255","0.0149305","0","1",,"10",,
"4/8/2017","2300","0.00371578","0","1",,"10",,
"4/8/2017","2211","0.00245528","0","1",,"10",,
"6/8/2017","3375","0.0165441","0","1",,"10",,
"5/8/2017","2803","0.00279143","0","1",,"11",,
"1/8/2017","479","0.00125529","0","1",,"8",,
"5/8/2017","2807","0.0266914","0","1",,"11",,
"8/8/2017","4338","0.0174972","0","1",,"11",,
"3/8/2017","1751","0.0103587","0","1",,"11",,
"7/8/2017","3846","0.00764546","0","1",,"10",,
"7/8/2017","3987","0.0159148","0","1",,"10",,
"1/8/2017","356","0.00336752","0","0",,"8",,
"1/8/2017","438","0.00312036","0","0",,"8",,
"1/8/2017","480","0.00258957","0","0",,"8",,
"1/8/2017","481","0.002611","0","0",,"8",,
"1/8/2017","482","0.00146985","0","0",,"8",,
"1/8/2017","520","0.00405674","0","0",,"8",,
"1/8/2017","521","0.00192266","0","0",,"8",,
"1/8/2017","522","0.000460606","0","0",,"8",,
"2/8/2017","930","0.0092177","0","0",,"11",,
"2/8/2017","1053","0.00127827","0","0",,"11",,
"2/8/2017","1054","0.00594171","0","0",,"11",,
"2/8/2017","1055","0.0030298","0","0",,"11",,
