LONGITUDE,LATITUDE,boylam,enlem,ilkodu,il_title,il_upper,e_zayif,ez_belcev,ez_kalcac,ez_length,ez_weight,ez_vk_ind,e_normal,en_belcev,en_kalcac,en_length,en_weight,en_vk_ind,e_fazla,ef_belcev,ef_kalcac,ef_length,ef_weight,ef_vk_ind,e_evre1,ee1_belcev,ee1_kalcac,ee1_length,ee1_weight,ee1_vk_ind,e_evre2,ee2_belcev,ee2_kalcac,ee2_length,ee2_weight,ee2_vk_ind,e_evre3,ee3_belcev,ee3_kalcac,ee3_length,ee3_weight,ee3_vk_ind,k_zayif,kz_belcev,kz_kalcac,kz_length,kz_weight,kz_vk_ind,k_normal,kn_belcev,kn_kalcac,kn_length,kn_weight,kn_vk_ind,k_fazla,kf_belcev,kf_kalcac,kf_length,kf_weight,kf_vk_ind,k_evre1,ke1_belcev,ke1_kalcac,ke1_length,ke1_weight,ke1_vk_ind,k_evre2,ke2_belcev,ke2_kalcac,ke2_length,ke2_weight,ke2_vk_ind,k_evre3,ke3_belcev,ke3_kalcac,ke3_length,ke3_weight,ke3_vk_ind,eobez_sayi,kobez_sayi,toplam_obe,erkek_sayi,kadin_sayi,toplam_say,eobez_oran,kobez_oran,obez_oran,eobez_yuzd,kobez_yuzd,obez_yuzde
35.33368253° E,36.98451447° N,35.333683,36.984514,1.000000,Adana,ADANA,4036.000000,8.434100,9.744500,1.173500,23.763800,15.798200,10616.000000,50.775800,59.495200,1.637500,61.569800,22.400400,6330.000000,71.486400,78.058100,1.724700,81.265300,27.263100,2674.000000,82.633100,86.044500,1.715700,94.272000,31.954900,649.000000,89.163300,89.388300,1.712100,108.525900,36.898700,346.000000,84.679200,85.193600,1.576900,154.333800,136.864500,4244.000000,12.673400,15.884500,1.206000,24.890900,15.652800,10939.000000,47.780800,60.889800,1.570400,55.201600,22.067400,6840.000000,68.491700,81.444000,1.601700,70.564700,27.464900,5287.000000,82.233000,94.023600,1.592500,82.004900,32.293900,2748.000000,92.822800,104.387200,1.582300,93.092000,37.132600,1836.000000,98.287000,108.540300,1.541800,119.279300,72.096600,3669.000000,9871.000000,13540.000000,24651.000000,31894.000000,56545.000000,0.148838,0.309494,0.239455,14.883778,30.949395,23.945530
38.27676222° E,37.76600916° N,38.276762,37.766009,2.000000,Adýyaman,ADIYAMAN,1126.000000,12.900500,14.936900,1.410900,32.952300,15.836500,4016.000000,65.415800,72.934300,1.702400,65.042900,22.321100,3051.000000,83.567700,88.344500,1.719700,80.465900,27.161500,869.000000,92.449900,94.276200,1.705100,92.400500,31.727700,158.000000,97.974700,97.417700,1.697400,106.830400,36.931100,51.000000,92.705900,90.274500,1.412200,138.766700,111.817200,1253.000000,15.703900,19.719900,1.400600,32.447000,15.910500,3723.000000,59.806100,72.071700,1.591600,56.071000,22.046700,2917.000000,79.468300,91.071300,1.595200,69.858300,27.412900,1924.000000,88.055600,99.134100,1.583600,80.750600,32.163900,772.000000,93.071200,103.594600,1.568500,91.223700,37.024000,322.000000,96.217400,106.397500,1.482300,111.121700,64.411700,1078.000000,3018.000000,4096.000000,9271.000000,10911.000000,20182.000000,0.116277,0.276602,0.202953,11.627656,27.660159,20.295313
30.53684764° E,38.75811822° N,30.536848,38.758118,3.000000,Afyonkarahisar,AFYONKARAHÝSAR,2156.000000,10.032900,11.506500,1.376300,30.934400,15.488800,5569.000000,62.704600,70.740000,1.688000,63.713400,22.174600,4320.000000,89.475200,96.228900,1.715000,80.572400,27.345100,2049.000000,101.086400,104.356800,1.700500,92.751500,32.017500,490.000000,114.277600,113.067300,1.691900,105.755100,36.871600,144.000000,118.069400,115.590300,1.602500,124.934700,53.729500,2268.000000,15.635800,19.302900,1.362500,29.496800,14.693400,5893.000000,59.085200,72.645000,1.594500,56.097000,21.964000,5152.000000,84.968900,99.813500,1.595400,70.156800,27.526800,4727.000000,96.117800,110.885600,1.581900,81.151300,32.386600,2724.000000,104.266200,118.991200,1.566200,91.446500,37.221200,1550.000000,113.700600,129.918700,1.543600,109.252300,46.575700,2683.000000,9001.000000,11684.000000,14728.000000,22314.000000,37042.000000,0.182170,0.403379,0.315426,18.217002,40.337904,31.542573
43.05036198° E,39.71944314° N,43.050362,39.719443,4.000000,Aðrý,AÐRI,45.000000,25.311100,25.977800,1.334900,26.822200,13.261500,239.000000,68.606700,77.322200,1.722400,66.378700,22.279200,144.000000,83.104200,89.826400,1.732600,81.144800,26.975800,27.000000,87.333300,88.074100,1.743700,96.655600,31.721100,10.000000,85.500000,84.800000,1.716000,108.700000,36.683600,11.000000,52.727300,50.909100,1.400000,217.818200,108.115900,36.000000,27.333300,31.861100,1.330800,28.111100,13.530100,153.000000,56.790800,70.477100,1.616900,58.171200,22.219400,84.000000,70.488100,84.059500,1.616500,71.366700,27.273700,57.000000,76.315800,85.157900,1.603700,81.333300,31.588600,44.000000,94.363600,102.454500,1.588200,94.648900,37.459400,34.000000,101.470600,110.176500,1.462600,134.227900,83.038400,48.000000,135.000000,183.000000,476.000000,408.000000,884.000000,0.100840,0.330882,0.207014,10.084034,33.088235,20.701357
35.83337503° E,40.65100329° N,35.833375,40.651003,5.000000,Amasya,AMASYA,337.000000,9.249300,10.605300,1.407500,33.416900,16.168400,793.000000,54.681000,62.305200,1.671400,62.161600,22.070700,771.000000,88.500600,94.914400,1.700600,79.700500,27.487700,430.000000,100.251200,102.988400,1.697900,92.170500,31.913600,99.000000,111.727300,111.828300,1.698900,106.346500,36.780700,39.000000,99.564100,100.384600,1.402100,116.984600,105.923600,363.000000,13.702500,17.636400,1.382000,32.174900,16.322900,1149.000000,56.899000,69.436900,1.590900,55.904700,22.007600,1264.000000,85.156600,99.367900,1.582100,69.159200,27.586200,1214.000000,96.810500,110.010700,1.572100,80.117400,32.379500,664.000000,102.957800,116.388600,1.551800,89.455900,37.087200,361.000000,113.299200,127.872600,1.516800,108.335500,51.135800,568.000000,2239.000000,2807.000000,2469.000000,5015.000000,7484.000000,0.230053,0.446461,0.375067,23.005265,44.646062,37.506681
32.85291525° E,39.92979428° N,32.852915,39.929794,6.000000,Ankara,ANKARA,10600.000000,8.121300,9.427900,1.341900,30.221200,15.890700,32080.000000,40.999400,46.673100,1.700400,65.424700,22.394600,32797.000000,54.530400,59.135000,1.729300,81.830800,27.304400,12900.000000,65.124300,67.551200,1.716600,94.136100,31.885800,2760.000000,75.761600,75.955400,1.710400,108.119300,36.867700,1071.000000,65.833800,65.966400,1.460000,178.619600,220.034800,12520.000000,13.858700,17.336600,1.374600,31.594000,15.802600,40469.000000,39.445100,49.013500,1.604200,56.997400,22.048600,34362.000000,54.822200,64.786800,1.602700,70.692900,27.484300,27868.000000,66.092900,75.420200,1.588000,81.432800,32.250500,13380.000000,74.499700,83.879300,1.574600,92.097400,37.089500,7167.000000,81.295100,90.837400,1.513100,123.743600,82.723100,16731.000000,48415.000000,65146.000000,92208.000000,135766.000000,227974.000000,0.181448,0.356606,0.285761,18.144846,35.660622,28.576066
30.70400934° E,36.88908647° N,30.704009,36.889086,7.000000,Antalya,ANTALYA,11952.000000,7.978700,9.362400,1.276700,27.565800,15.738700,27271.000000,64.110800,72.973600,1.688600,64.477000,22.338400,28080.000000,86.070000,92.894200,1.721200,81.142600,27.338000,11994.000000,97.310400,100.481700,1.711600,93.666500,31.914400,2632.000000,107.747700,107.977200,1.710700,108.025600,36.839500,1373.000000,63.981800,63.953400,1.326300,117.417100,90.464400,13550.000000,14.130700,18.094200,1.320300,29.698100,15.816400,35398.000000,61.751500,76.803600,1.597400,56.663100,22.075300,28398.000000,80.710400,94.942000,1.595600,69.952000,27.439200,18926.000000,91.266700,104.304200,1.582900,80.803800,32.204900,8029.000000,100.335700,113.191900,1.572900,91.918500,37.093000,4885.000000,84.277600,95.026600,1.414300,106.559600,105.532900,15999.000000,31840.000000,47839.000000,83302.000000,109186.000000,192488.000000,0.192060,0.291612,0.248530,19.206021,29.161248,24.852978
41.82084914° E,41.18111974° N,41.820849,41.181120,8.000000,Artvin,ARTVÝN,61.000000,21.262300,22.114800,1.361800,29.894300,15.009500,333.000000,70.297300,80.477500,1.697400,65.147100,22.481600,315.000000,86.165100,93.155600,1.723100,81.366700,27.343200,133.000000,99.022600,105.135300,1.708900,93.536500,31.973400,45.000000,108.355600,112.066700,1.700700,106.555600,36.779800,19.000000,120.473700,127.842100,1.560500,177.268400,93.469600,82.000000,41.365900,48.756100,1.464400,32.357300,14.099700,323.000000,62.690400,76.501500,1.602900,56.644000,21.990200,273.000000,83.542100,96.648400,1.593500,70.164800,27.581400,228.000000,93.482500,106.807000,1.587600,81.881600,32.391200,108.000000,100.425900,114.259300,1.582300,92.882400,37.039100,91.000000,104.373600,117.175800,1.553400,145.934100,63.415800,197.000000,427.000000,624.000000,906.000000,1105.000000,2011.000000,0.217439,0.386425,0.310293,21.743929,38.642534,31.029339
27.84343113° E,37.84879244° N,27.843431,37.848792,9.000000,Aydýn,AYDIN,529.000000,12.603000,14.476400,1.408300,32.870300,15.911100,1746.000000,60.792700,67.721600,1.705100,64.949000,22.210200,1374.000000,85.727800,90.173200,1.725000,81.408400,27.303800,599.000000,98.298800,98.943200,1.710800,93.626700,31.922900,148.000000,104.155400,103.675700,1.699700,106.996600,36.961000,211.000000,40.924200,40.696700,1.281000,100.204700,71.975100,560.000000,19.026800,23.764300,1.418700,33.444800,15.998300,2027.000000,56.303900,67.932900,1.602500,56.381600,21.885100,1533.000000,82.551900,94.611200,1.592400,69.794100,27.472100,1102.000000,95.695100,107.206000,1.582600,81.007200,32.288600,519.000000,103.768800,114.682100,1.572100,91.622100,37.018600,616.000000,57.743500,63.956200,1.354900,100.874800,66.197400,958.000000,2237.000000,3195.000000,4607.000000,6357.000000,10964.000000,0.207944,0.351896,0.291408,20.794443,35.189555,29.140825
27.87398880° E,39.63782244° N,27.873989,39.637822,10.000000,Balýkesir,BALIKESÝR,2353.000000,9.862700,11.551200,1.428000,33.975600,16.111100,6772.000000,63.376300,71.989200,1.695200,64.306900,22.225500,5407.000000,87.075600,93.544700,1.713600,80.139700,27.237400,2256.000000,98.945500,101.636100,1.706700,93.033900,31.877100,433.000000,107.856800,107.390300,1.706900,107.850600,36.951700,173.000000,103.456600,101.369900,1.423100,142.125400,106.490800,2446.000000,14.610800,18.799300,1.421700,33.735800,16.188700,6986.000000,58.293000,72.720900,1.590000,55.797600,21.973500,5912.000000,81.014900,96.522700,1.593000,69.713700,27.431000,4642.000000,92.660700,107.799700,1.580300,80.712500,32.272000,2074.000000,100.847200,116.132600,1.570700,91.604800,37.073100,1000.000000,109.806000,126.263000,1.536700,111.936200,52.632000,2862.000000,7716.000000,10578.000000,17394.000000,23060.000000,40454.000000,0.164539,0.334605,0.261482,16.453950,33.460538,26.148218
29.98063490° E,40.14392000° N,29.980635,40.143920,11.000000,Bilecik,BÝLECÝK,301.000000,11.923600,13.199300,1.409400,32.415000,15.103600,812.000000,60.852200,67.933500,1.700500,64.133500,22.050700,742.000000,90.726400,96.196800,1.713500,80.728900,27.439900,382.000000,103.544500,106.664900,1.710200,93.940800,32.058600,112.000000,112.973200,112.928600,1.712800,108.641100,36.993300,37.000000,117.891900,117.486500,1.627300,124.627000,53.091200,345.000000,21.965200,28.339100,1.440100,34.485100,15.451600,1137.000000,61.028100,75.922600,1.595900,56.254300,22.012100,1099.000000,85.515000,101.587800,1.599000,70.342800,27.480900,953.000000,95.070300,109.955900,1.584600,81.000600,32.212800,491.000000,104.596700,119.537700,1.573200,91.765000,37.027500,196.000000,112.183700,128.648000,1.552300,109.689300,47.331300,531.000000,1640.000000,2171.000000,2386.000000,4221.000000,6607.000000,0.222548,0.388534,0.328591,22.254820,38.853352,32.859089
40.49685278° E,38.88471498° N,40.496853,38.884715,12.000000,Bingöl,BÝNGÖL,18.000000,0.722200,0.722200,1.320600,28.055600,13.785100,89.000000,57.404500,65.730300,1.712000,66.312400,22.440100,73.000000,76.835600,84.958900,1.752600,83.931500,27.284900,29.000000,93.275900,96.827600,1.729300,96.275900,32.145900,9.000000,116.000000,115.888900,1.736700,110.777800,36.725700,11.000000,73.181800,74.272700,1.498200,313.454500,182.754800,28.000000,17.071400,20.357100,1.295700,23.714300,11.200300,90.000000,63.488900,81.533300,1.620200,58.672200,22.179100,121.000000,80.256200,97.900800,1.621700,72.790100,27.655600,158.000000,98.613900,113.588600,1.608000,83.373400,32.219400,58.000000,101.913800,118.293100,1.588100,93.827600,37.168400,41.000000,96.658500,111.463400,1.449300,150.097600,93.590600,49.000000,257.000000,306.000000,229.000000,496.000000,725.000000,0.213974,0.518145,0.422069,21.397380,51.814516,42.206897
42.10763707° E,38.40435468° N,42.107637,38.404355,13.000000,Bitlis,BÝTLÝS,39.000000,31.256400,41.435900,1.293800,27.410300,15.588000,150.000000,48.113300,54.806700,1.723700,67.160000,22.544400,168.000000,73.464300,79.309500,1.734100,82.833300,27.506500,91.000000,86.439600,92.340700,1.712900,94.406600,32.100800,14.000000,89.571400,96.785700,1.679300,102.285700,36.207600,4.000000,56.000000,90.000000,1.700000,240.500000,83.196600,54.000000,29.777800,39.259300,1.356500,30.951900,15.544600,190.000000,52.910500,64.089500,1.619700,59.137900,22.500100,246.000000,75.947200,87.024400,1.618100,72.483700,27.660100,909.000000,107.584200,115.859200,1.607800,82.607400,31.923700,228.000000,108.250000,117.745600,1.601100,94.730700,36.905900,76.000000,95.118400,106.407900,1.475300,108.039500,58.258500,109.000000,1213.000000,1322.000000,466.000000,1703.000000,2169.000000,0.233906,0.712272,0.609497,23.390558,71.227246,60.949746
